Category,Name,Description,Price
Mains,Spaghetti Carbonara,"Classic Italian pasta dish with eggs, bacon, parmesan cheese, and black pepper.",2200
Mains,"Mushroom Risotto","Creamy Italian risotto with Arborio rice, mushrooms, and parmesan cheese.",2100
Sides,French Fries,"Crispy and golden, lightly salted.",550
Sides,"Sweet Potato Fries","A sweeter alternative, crispy and flavorful.",600
Sides,Mashed Potatoes,"Creamy and smooth, made with butter and milk.",500
Sides,Roasted Vegetables,"A medley of seasonal vegetables roasted to perfection.",650
Sides,Steamed Rice,"Fluffy and light, a perfect complement to any dish.",400
Sides,Garlic Bread,"Toasted bread with a savory garlic butter spread.",350
Sides,Coleslaw,"Crisp and refreshing, with a creamy dressing.",450
Sides,"Corn on the Cob","Sweet and juicy, grilled or steamed.",400
Sides,Potato Salad,"Creamy and tangy, with potatoes, mayonnaise, and other mix-ins.",500
Sides,Onion Rings,"Crispy and golden, a classic favorite.",600
Sides,Side Salad,"A small portion of mixed greens with your choice of dressing.",350
Sides,Pickles,"A variety of pickled vegetables for a tangy bite.",250
"From the Grill","T-Bone Steak","A premium cut of beef grilled to your desired doneness.",4500
"From the Grill","Ribeye Steak","A flavorful and marbled cut of beef grilled to perfection.",4200
"From the Grill","Sirloin Steak","A lean and tender cut of beef grilled to your liking.",3800
"From the Grill","Lamb Chops","Juicy lamb chops marinated and grilled.",4000
"From the Grill","Chicken Skewers","Marinated chicken grilled on skewers with vegetables.",2500
"From the Grill","Vegetable Skewers","A colorful assortment of grilled vegetables on skewers.",1800
"From the Grill","Grilled Fish (Seasonal)","Freshly caught fish grilled and seasoned.",3000
"From the Grill","Pork Ribs","Tender and smoky pork ribs slathered in barbecue sauce.",3200
Desserts,"Chocolate Brownie with Vanilla Ice Cream","A decadent chocolate brownie served with a scoop of creamy vanilla ice cream.",1200
Desserts,"Cheesecake with Berry Compote","Creamy cheesecake topped with a sweet berry compote.",1400
Desserts,Tiramisu,"Classic Italian dessert with layers of espresso-soaked ladyfingers and mascarpone cream.",1300
Desserts,Watalappan,"A traditional Sri Lankan custard dessert flavored with jaggery and spices.",900
Desserts,Fruit Salad,"A refreshing mix of seasonal fruits.",800
Desserts,"Ice Cream (Various Flavors)","Choose from a variety of delicious ice cream flavors.",600
Desserts,Chocolate Mousse,"Light and airy chocolate mousse.",1100
